metric,value
distance_D_m,0.000000
heading_error_phi_deg,66.406293
robot_heading_xz_deg,-23.675567
reference_heading_xz_deg,-90.081860
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.217917
robot_y_m,-0.661700
robot_z_m,-0.310714
robot_qx,0.56522692
robot_qy,0.56588124
robot_qz,-0.03614619
robot_qw,0.59915808
robot_roll_deg,113.703088
robot_pitch_deg,45.969197
robot_yaw_deg,59.099090
reference_x_m,0.217917
reference_y_m,-0.661700
reference_z_m,-0.310714
reference_qx,0.00000000
reference_qy,-0.70761173
reference_qz,0.00000000
reference_qw,0.70660147
reference_roll_deg,180.000000
reference_pitch_deg,-89.918140
reference_yaw_deg,180.000000
