metric,value
distance_D_m,0.000000
heading_error_phi_deg,0.021285
robot_heading_xz_deg,89.920715
reference_heading_xz_deg,89.899430
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.211468
robot_y_m,-5.657465
robot_z_m,1.822479
robot_qx,-0.19073051
robot_qy,-0.19054580
robot_qz,-0.68214360
robot_qw,0.67970161
robot_roll_deg,0.045556
robot_pitch_deg,-31.281270
robot_yaw_deg,-90.218234
reference_x_m,0.211468
reference_y_m,-5.657465
reference_z_m,1.822479
reference_qx,0.00000000
reference_qy,0.70648592
reference_qz,0.00000000
reference_qw,0.70772709
reference_roll_deg,0.000000
reference_pitch_deg,89.899430
reference_yaw_deg,0.000000
