tag,x,y,z,qx,qy,qz,qw,n_obs
tag36h11:0,0.0014645228382467639,-1.2120575649776322,1.9721763398769019,0.42610919038277123,-0.0007185761752178633,-0.000368416319937854,0.9046713799988563,204
tag36h11:1,-0.0002880849094530773,-1.7659838284474512,3.031281340398854,0.500416652860876,-0.0006589479154062414,-0.0005254571736146177,0.8657843052527119,85
tag36h11:10,-0.005979944162502045,-3.9303466110858696,-2.6827725238950135,-0.7641241577485727,0.001619993391155631,0.0012272773053556094,0.6450659973652796,96
tag36h11:11,-0.010074064330272978,-3.487186085484535,-3.5290515235743714,-0.7080837671786842,0.0017698748359600152,0.0009615176807176865,0.7061255707626356,202
tag36h11:12,-0.006927314599530536,-5.1971677719820315,-2.1127468516759462,0.9052609937031336,-0.0017618601575832562,-0.0012833794656116186,-0.42485030547893876,113
tag36h11:13,-0.012102386945590569,-5.242513191135023,-3.069572902168796,0.8663695363224928,-0.0017968547067103544,-0.0010840630273912387,-0.4993990615258149,124
tag36h11:14,-0.053764665019333635,-5.939913481353329,-1.0115415422636058,0.9904003501215972,-0.01570066065782089,0.037333632614225815,-0.13216215649629706,18
tag36h11:15,-0.013419572368343107,-6.527375751949487,-1.7902487598545433,0.9659750792294445,-0.0030732446279936425,5.760477898263167e-05,-0.2586168945695827,291
tag36h11:16,-0.007401383177635878,-6.157856582511987,0.3960101451063048,0.9965794258859426,-0.001962067749911898,-0.001942985192317013,0.08259432788958558,59
tag36h11:17,-0.012932706768713359,-7.001738096818785,-0.05027079747067399,0.9999971790932567,-0.0019069115522479696,-0.0013911396519147464,0.0002649987359595522,284
tag36h11:18,-0.003092896631933814,-5.5931479268383315,1.6664627319222158,0.9410750620472342,-0.001834965058053062,-0.0014362945806057857,0.33818973602684577,63
tag36h11:19,-0.008346974121619222,-6.547663278990274,1.7079599394189058,0.9660291564377668,-0.0017333714603927504,-0.0010879659818523175,0.2584250000784359,87
tag36h11:2,0.0019181544605560788,-0.9998005509852654,0.9532770691562104,0.17745575293275348,-0.0013384155500811548,-0.0004120538775753188,0.9841277836777533,192
tag36h11:20,0.0031032110972737227,-4.466228379966475,2.5015890521724944,0.8202199853872983,-0.0013569037951948716,0.001573732775236815,0.5720444543464283,38
tag36h11:21,-0.004437963390786551,-5.274861567977136,2.9993039695205885,0.8665928628620847,-0.001659451053369803,-9.076888027784502e-05,0.49901307399677214,195
tag36h11:22,0.0008838574422174871,-3.08589722481153,2.6395541948222645,0.6456160084226803,-0.0011790220203271183,-0.0005943790849266805,0.7636610676792058,69
tag36h11:23,-0.001217284340154444,-3.5306819868262527,3.4850684926672915,0.707505425373979,-0.0011121847416997418,-0.0006530804439501292,0.7067067352144163,236
tag36h11:3,0.0009774273584206665,-0.48966477887051146,1.758122847782324,0.2589730340196207,-0.00029118764293063575,3.9597299602524986e-05,0.9658845072225162,218
tag36h11:4,0.0005045140022408889,-0.850461321434234,-0.4416888191666691,-0.08405783673487366,-0.000337107332956452,0.0003191235142710408,0.9964607692238978,66
tag36h11:5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,381
tag36h11:6,-0.0002589802564396303,-1.415573357872704,-1.7180145370027415,-0.3400964388592729,4.567552844304134e-05,0.0007054014916447731,0.9403902980133954,64
tag36h11:7,-0.0027719462767217284,-0.4615549853032496,-1.7634702603394177,-0.25994045818068123,0.00024342175790693926,0.0004893442501546583,0.9656244919682134,98
tag36h11:8,-0.0033188975356345505,-2.546883280181276,-2.5466904373352426,-0.5714585536392497,0.0010427968051373118,0.0010078525409156897,0.8206296474540851,34
tag36h11:9,-0.005378889554828341,-1.7411090531182656,-3.052824863359616,-0.501390634205693,0.001517467210260407,0.0006291935178410585,0.8652194711976816,200
