metric,value
distance_D_m,0.000000
heading_error_phi_deg,-0.282196
robot_heading_xz_deg,90.366142
reference_heading_xz_deg,90.648339
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.223824
robot_y_m,-5.503955
robot_z_m,-2.137521
robot_qx,0.33867318
robot_qy,0.33649595
robot_qz,-0.62188885
robot_qw,0.62074569
robot_roll_deg,0.203607
robot_pitch_deg,57.033721
robot_yaw_deg,-89.994791
reference_x_m,0.223824
reference_y_m,-5.503955
reference_z_m,-2.137521
reference_qx,0.00000000
reference_qy,0.71109613
reference_qz,0.00000000
reference_qw,0.70309480
reference_roll_deg,180.000000
reference_pitch_deg,89.351661
reference_yaw_deg,180.000000
