metric,value
distance_D_m,0.000000
heading_error_phi_deg,0.229803
robot_heading_xz_deg,89.293614
reference_heading_xz_deg,89.063811
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.214122
robot_y_m,-4.114945
robot_z_m,2.684239
robot_qx,-0.44180897
robot_qy,-0.44076759
robot_qz,-0.55339878
robot_qw,0.55161450
robot_roll_deg,0.109902
robot_pitch_deg,-77.228822
robot_yaw_deg,-90.272812
reference_x_m,0.214122
reference_y_m,-4.114945
reference_z_m,2.684239
reference_qx,0.00000000
reference_qy,0.70130633
reference_qz,0.00000000
reference_qw,0.71286003
reference_roll_deg,0.000000
reference_pitch_deg,89.063811
reference_yaw_deg,0.000000
