metric,value
distance_D_m,0.000000
heading_error_phi_deg,1.808109
robot_heading_xz_deg,-89.924288
reference_heading_xz_deg,-91.732396
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.217346
robot_y_m,-1.552400
robot_z_m,2.378180
robot_qx,0.63415453
robot_qy,0.63432697
robot_qz,0.31299135
robot_qw,-0.31227189
robot_roll_deg,179.904001
robot_pitch_deg,-52.479430
robot_yaw_deg,90.062898
reference_x_m,0.217346
reference_y_m,-1.552400
reference_z_m,2.378180
reference_qx,0.00000000
reference_qy,-0.71771562
reference_qz,0.00000000
reference_qw,0.69633634
reference_roll_deg,180.000000
reference_pitch_deg,-88.267604
reference_yaw_deg,180.000000
