tag,x,y,z,qx,qy,qz,qw,n_obs
tag36h11:0,0.002041324430790726,-1.2118320838547303,1.972245721282651,0.42623605946870224,-0.0005834009079017659,-0.0007448143261768255,0.9046114782068561,204
tag36h11:1,0.0007968498962038527,-1.7676249304982958,3.0297079295833704,0.5022599404918119,-0.0007633535441281687,-0.0012337029064569047,0.8647154719592259,85
tag36h11:10,-0.00010120939536142405,-3.9284251851504273,-2.6879076479897317,-0.763209142730557,0.00021939043284900642,0.0022386704180194948,0.6461476183312029,96
tag36h11:11,-0.005864178582938328,-3.4800573004800937,-3.52741841128759,-0.7081019940499833,0.0009714177265425362,0.00182714831068608,0.7061071334429987,202
tag36h11:12,0.0035045059002296254,-5.197492591059826,-2.1212493900148375,0.9048582240189985,0.00017089927686104575,-0.0016161951728293398,-0.4257099401373951,113
tag36h11:13,-0.001022816110027182,-5.238325222119587,-3.077885225046613,-0.8652508530836143,-0.0005388012507460531,0.0024532586395150393,0.5013328758951856,124
tag36h11:14,-0.044454505989543106,-5.951442483397663,-1.0176170703975713,0.9890462110048657,-0.014462966990641278,0.04302056825721172,-0.1404551379963476,18
tag36h11:15,0.004243971294086761,-6.53199465240761,-1.8036903829431004,0.9661485537636645,-0.0016110457673535537,0.001976130961480812,-0.2579737806412466,291
tag36h11:16,-0.0005568962199109414,-6.158580146249702,0.38204162096225996,0.9965775834188768,-0.0010509733686880644,-0.00014251491445301274,0.08265588528029479,59
tag36h11:17,-0.0022593678816894523,-7.00369283123203,-0.06294425468212611,0.9999988655962191,-0.0009794870078042722,0.0006923155343165193,0.0009111040980552577,284
tag36h11:18,-0.0013262759308647694,-5.593553536541181,1.6526603399940942,0.9411478277071763,-0.0014596702680524374,-0.00028686841038196866,0.3379919429088317,63
tag36h11:19,-0.00521076653856683,-6.547918867593534,1.6939004316800053,0.9661058833610177,-0.0013706475476806142,6.8396807767137435e-06,0.2581424866498089,87
tag36h11:2,0.001818757416452397,-1.0003576731310617,0.9536005143386271,0.1778307819178314,-0.0006896027503555117,-0.0005491714130964428,0.9840606870825084,192
tag36h11:20,-0.00033855632508128443,-4.466284645021683,2.4847357158773224,0.8204668734162843,-0.0010714272061212353,0.00238404208308942,0.5716880950427383,38
tag36h11:21,-0.0044772635463216325,-5.277290211454216,2.985960561248001,0.867193939639848,-0.0016229826117092462,-0.0003173205206997274,0.49796780647653216,195
tag36h11:22,0.00018092009304925726,-3.086553764916371,2.632453806903885,0.6469708594861803,-0.0009967173754068868,-0.001077242531252847,0.7625133133780129,69
tag36h11:23,-0.0014636669476511175,-3.5347155484166892,3.476009216082281,0.7090333114177028,-0.0012423243348357784,-0.001251365164173173,0.7051727830932785,236
tag36h11:3,0.0011327708404788124,-0.4885598269295125,1.7582934482625516,0.25838651124971945,-0.0003370478590882147,0.00014005994589690778,0.9660415506520157,218
tag36h11:4,0.0012502457095812756,-0.8485068489814752,-0.4424967522718191,-0.08234656926611633,0.002776928821944166,-0.00040761436383786445,0.996599801849744,66
tag36h11:5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,381
tag36h11:6,-0.0008596933834927894,-1.411056445086672,-1.7160037684228509,-0.3400788774656071,0.00023582488634003951,0.0005104354301724438,0.9403967465618048,64
tag36h11:7,-0.002320934138971532,-0.45760949592269407,-1.761131834276982,-0.25921695978628767,-6.812545265624746e-06,0.00011197444146248503,0.9658191110008477,98
tag36h11:8,-0.002284624784437613,-2.5440400282214566,-2.543340654333463,-0.5705655911856825,0.0006846095185073616,0.0021088442947053915,0.8212490427638139,34
tag36h11:9,-0.004767962438977035,-1.7345337172449917,-3.0503353733973406,-0.5010329049574765,0.0007711726420788089,0.001328080554901418,0.8654268713442334,200
