tag_id,error_m,true_aligned_x,true_aligned_y,true_aligned_z,detected_x,detected_y,detected_z
0,0.09246074544987075,0.0007121506744824369,-1.2753085996233704,1.9050299888076945,0.0020413244307907,-1.2118320838547303,1.972245721282651
1,0.10731158671673477,0.0005992309988055444,-1.8282859335510921,2.9411868569562083,0.0007968498962038,-1.7676249304982958,3.0297079295833704
2,0.07900283117684746,0.0004727167769361662,-1.0610288305842839,0.9030174523332432,0.0018187574164523,-1.0003576731310615,0.9536005143386272
3,0.09489945838414818,0.0013879089537285338,-0.5680351439472933,1.7064329036156711,0.0011327708404788,-0.4885598269295125,1.7582934482625516
4,0.07399224662862763,-1.1091708860988536e-05,-0.9224883398039445,-0.4424721605377338,0.0012502457095812,-0.8485068489814752,-0.4424967522718191
5,0.0931131761334739,0.0011037288062215045,-0.09279874901588059,0.007565549119082693,0.0,0.0,0.0
6,0.07487790661519075,-0.00119333603869326,-1.4744458594527878,-1.6761493868823887,-0.0008596933834927,-1.411056445086672,-1.7160037684228509
7,0.09433089662248235,-0.00017984004202603598,-0.5314142537596398,-1.7024241559520876,-0.0023209341389715,-0.457609495922694,-1.761131834276982
8,0.07796433871836116,-0.002758914261351997,-2.569582285377948,-2.469680581969698,-0.0022846247844376,-2.5440400282214566,-2.543340654333463
9,0.09323112930870409,-0.002117402225408127,-1.7661669672349682,-2.9626749176729823,-0.004767962438977,-1.7345337172449915,-3.0503353733973406
10,0.08090678545007786,-0.004287952848453513,-3.915071180638684,-2.608220449051488,-0.0001012093953614,-3.9284251851504273,-2.687907647989732
11,0.09077533613924081,-0.004189649028578657,-3.4650332615825263,-3.437910669403616,-0.0058641785829383,-3.4800573004800937,-3.52741841128759
12,0.08171985313081077,-0.005369722585315095,-5.148748097344184,-2.0562620312678215,0.0035045059002296,-5.197492591059826,-2.121249390014837
13,0.10102996669210944,-0.005843031064453719,-5.175022369989268,-2.9992940766279217,-0.0010228161100271,-5.238325222119587,-3.077885225046613
14,0.06910849180565584,-0.0057165168425843405,-5.942279472956075,-0.9611246720049568,-0.0444545059895431,-5.951442483397663,-1.017617070397571
15,0.1049098204443434,-0.006631709019376708,-6.435273159593066,-1.764540123287385,0.0042439712940867,-6.53199465240761,-1.8036903829431004
16,0.07793527454891164,-0.00523270835678713,-6.080819963736415,0.3843649408660201,-0.0005568962199109,-6.158580146249702,0.3820416209622599
17,0.0933128121293043,-0.006347528871869734,-6.910509554524479,-0.06567276879079642,-0.0022593678816894,-7.00369283123203,-0.0629442546821261
18,0.0734219077012233,-0.004050464026954859,-5.528862444087572,1.6180421672106748,-0.0013262759308647,-5.593553536541181,1.6526603399940942
19,0.09076517774824054,-0.005063960023622194,-6.47189404978072,1.6443169362803738,-0.0052107665385668,-6.547918867593534,1.6939004316800053
20,0.0801086817671008,-0.002484885804296233,-4.433726018162412,2.4115733622979847,-0.0003385563250812,-4.466284645021683,2.4847357158773224
21,0.09076648721512218,-0.003126397840240047,-5.237141336305392,2.904567698001269,-0.0044772635463216,-5.277290211454216,2.985960561248001
22,0.08236562778871004,-0.0009558472171946608,-3.0882371229016754,2.550113229379775,0.0001809200930492,-3.086553764916371,2.632453806903885
23,0.09627246323125851,-0.0010541510370695173,-3.5382750419578337,3.3798034497319027,-0.0014636669476511,-3.534715548416689,3.476009216082281
