metric,value
distance_D_m,0.000000
heading_error_phi_deg,-0.518199
robot_heading_xz_deg,-90.020732
reference_heading_xz_deg,-89.502533
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.220054
robot_y_m,-1.524537
robot_z_m,2.110880
robot_qx,0.62131318
robot_qy,0.62148370
robot_qz,0.33740439
robot_qw,-0.33747033
robot_roll_deg,179.996515
robot_pitch_deg,-57.006485
robot_yaw_deg,90.017616
reference_x_m,0.220054
reference_y_m,-1.524537
reference_z_m,2.110880
reference_qx,0.00000000
reference_qy,-0.70403042
reference_qz,0.00000000
reference_qw,0.71016981
reference_roll_deg,0.000000
reference_pitch_deg,-89.502533
reference_yaw_deg,0.000000
