metric,value
distance_D_m,0.000000
heading_error_phi_deg,-6.924789
robot_heading_xz_deg,-55.189706
reference_heading_xz_deg,-48.264917
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.215207
robot_y_m,-3.771658
robot_z_m,-2.775571
robot_qx,0.49889988
robot_qy,0.50364679
robot_qz,-0.49930255
robot_qw,0.49813229
robot_roll_deg,-130.926114
robot_pitch_deg,89.551978
robot_yaw_deg,139.278815
reference_x_m,0.215207
reference_y_m,-3.771658
reference_z_m,-2.775571
reference_qx,0.00000000
reference_qy,-0.40884752
reference_qz,0.00000000
reference_qw,0.91260271
reference_roll_deg,0.000000
reference_pitch_deg,-48.264917
reference_yaw_deg,0.000000
