metric,value
distance_D_m,0.000000
heading_error_phi_deg,2.390662
robot_heading_xz_deg,-90.083614
reference_heading_xz_deg,-92.474276
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.215133
robot_y_m,-1.304415
robot_z_m,-1.937325
robot_qx,0.66868863
robot_qy,0.67053181
robot_qz,-0.22794704
robot_qw,0.22645696
robot_roll_deg,-179.795437
robot_pitch_deg,37.484326
robot_yaw_deg,90.227121
reference_x_m,0.215133
reference_y_m,-1.304415
reference_z_m,-1.937325
reference_qx,0.00000000
reference_qy,-0.72220871
reference_qz,0.00000000
reference_qw,0.69167520
reference_roll_deg,180.000000
reference_pitch_deg,-87.525724
reference_yaw_deg,180.000000
