metric,value
distance_D_m,0.000000
heading_error_phi_deg,0.075413
robot_heading_xz_deg,90.115557
reference_heading_xz_deg,90.040143
delta_x_ref_minus_robot_m,0.000000
delta_y_ref_minus_robot_m,0.000000
delta_z_ref_minus_robot_m,0.000000
robot_x_m,0.217785
robot_y_m,-6.087845
robot_z_m,-1.226084
robot_qx,0.13335144
robot_qy,0.13234904
robot_qz,-0.69542125
robot_qw,0.69360681
robot_roll_deg,0.056116
robot_pitch_deg,21.658103
robot_yaw_deg,-90.138953
reference_x_m,0.217785
reference_y_m,-6.087845
reference_z_m,-1.226084
reference_qx,0.00000000
reference_qy,0.70735445
reference_qz,0.00000000
reference_qw,0.70685903
reference_roll_deg,180.000000
reference_pitch_deg,89.959857
reference_yaw_deg,180.000000
