metric,value
distance_D_m,2.253073
heading_error_phi_deg,19.570554
robot_heading_xz_deg,-89.949106
reference_heading_xz_deg,-109.519659
delta_x_ref_minus_robot_m,2.123582
delta_y_ref_minus_robot_m,0.228904
delta_z_ref_minus_robot_m,-0.752820
robot_x_m,-2.975721
robot_y_m,-0.011114
robot_z_m,-0.254404
robot_qx,0.62502469
robot_qy,0.62460776
robot_qz,0.33115504
robot_qw,-0.33097677
robot_roll_deg,-179.994563
robot_pitch_deg,-55.834764
robot_yaw_deg,89.958886
reference_x_m,-0.852139
reference_y_m,0.217790
reference_z_m,-1.007224
reference_qx,0.00000000
reference_qy,-0.81674056
reference_qz,0.00000000
reference_qw,0.57700508
reference_roll_deg,180.000000
reference_pitch_deg,-70.480341
reference_yaw_deg,180.000000
