metric,value
distance_D_m,1.896037
heading_error_phi_deg,72.679658
robot_heading_xz_deg,-89.949106
reference_heading_xz_deg,-162.628763
delta_x_ref_minus_robot_m,0.566084
delta_y_ref_minus_robot_m,0.245979
delta_z_ref_minus_robot_m,-1.809559
robot_x_m,-2.975721
robot_y_m,-0.033341
robot_z_m,-0.763213
robot_qx,0.62502469
robot_qy,0.62460776
robot_qz,0.33115504
robot_qw,-0.33097677
robot_roll_deg,-179.994563
robot_pitch_deg,-55.834764
robot_yaw_deg,89.958886
reference_x_m,-2.409637
reference_y_m,0.212638
reference_z_m,-2.572772
reference_qx,0.00000000
reference_qy,-0.98853182
reference_qz,0.00000000
reference_qw,0.15101269
reference_roll_deg,180.000000
reference_pitch_deg,-17.371237
reference_yaw_deg,180.000000
