metric,value
distance_D_m,2.091149
heading_error_phi_deg,76.557726
robot_heading_xz_deg,-89.949106
reference_heading_xz_deg,-166.506832
delta_x_ref_minus_robot_m,0.566492
delta_y_ref_minus_robot_m,0.237088
delta_z_ref_minus_robot_m,-2.012955
robot_x_m,-2.975721
robot_y_m,-0.024450
robot_z_m,-0.559689
robot_qx,0.62502469
robot_qy,0.62460776
robot_qz,0.33115504
robot_qw,-0.33097677
robot_roll_deg,-179.994563
robot_pitch_deg,-55.834764
robot_yaw_deg,89.958886
reference_x_m,-2.409229
reference_y_m,0.212638
reference_z_m,-2.572645
reference_qx,0.00000000
reference_qy,-0.99307546
reference_qz,0.00000000
reference_qw,0.11747819
reference_roll_deg,180.000000
reference_pitch_deg,-13.493168
reference_yaw_deg,180.000000
